;#;FORM;LEMMA;GRAM;COMMENT;CHECKED;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;POS;AUTO_LEMMA;AUTO_GRAM;
12272;#doc=fisika.2.txt;;;;;;;;;;;;;;;
12273;1;я;я;PUNC;;;;;;;;;PUNC;я;PUNC;
12274;2;‘ергей;‘…ђѓ…‰;S m anim nom sg persn;;;й;е;г;р;е;с;S;‘…ђѓ…‰;S m anim nom sg;
12275;3;@;@;PUNC;;;;;;;;;PUNC;@;PUNC;
12276;4;‘то;‘’Ћ;NUM nom - -;;;о;т;с;;;;NUM;‘’Ћ;NUM acc - -;
12277;5;лет;ѓЋ„;S m inan gen pl;;;т;е;л;;;;S;ѓЋ„;S m inan gen pl;
12278;6;тому назад;тому назад;ZERO;;;д;а;з;а;н;;ZERO;тому назад;ZERO;
12279;7;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12280;8;даже;„Ђ†…;CONJ;;;е;ж;а;д;;;CONJ;„Ђ†…;CONJ;
12281;9;чуть;—“’њ;ADV -;;;ь;т;у;ч;;;ADV;—“’њ;ADV -;
12282;10;побольше;ЊЌЋѓЋ;ADV comp;;;е;ш;ь;л;о;б;ADV;ЊЌЋѓЋ;ADV comp;
12283;11;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12284;12;в;‚;PR;;;в;;;;;;PR;‚;PR;
12285;13;начале;ЌЂ—Ђ‹Ћ;S n inan loc sg;;;е;л;а;ч;а;н;S;ЌЂ—Ђ‹Ћ;S n inan loc sg;
12286;14;двадцатого;„‚Ђ„–Ђ’›‰;A - gen sg plen m -;;;о;г;о;т;а;ц;A;„‚Ђ„–Ђ’›‰;A - gen sg plen m -;
12287;15;века;‚…Љ;S m inan gen sg;;;а;к;е;в;;;S;‚…Љ;S m inan gen sg;
12288;16;Й;Й;SENT;;;;;;;;;SENT;Й;SENT;
12289;;;;;;;;;;;;;;;;
12290;1;‘ергей;‘…ђѓ…‰;S m anim nom sg persn;;;й;е;г;р;е;с;S;‘…ђѓ…‰;S m anim nom sg;
12291;2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC;
12292;3;‚от;‚Ћ’;PART;;;т;о;в;;;;PART;‚Ћ’;PART;
12293;4;стало;‘’Ђ’њ;V pf praet sg indic n -;;;о;л;а;т;с;;V;‘’Ђ’њ;V pf praet sg indic n -;
12294;5;понЯтно;ЏЋЌџ’ЌЋ;PRAEDIC;;;о;н;т;Я;н;о;ADV;ЏЋЌџ’ЌЋ;ADV -;
12295;6;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12296;7;что;—’Ћ;CONJ;;;о;т;ч;;;;CONJ;—’Ћ;CONJ;
12297;8;атомы;Ђ’ЋЊ;S m inan nom pl;;;ы;м;о;т;а;;S;Ђ’ЋЊ;S m inan nom pl;
12298;9;состоЯт;‘Ћ‘’Ћџ’њ;V ipf praes pl indic - 3p;;;т;Я;о;т;с;о;V;‘Ћ‘’Ћџ’њ;V ipf praes pl indic - 3p;
12299;10;из;€‡;PR;;;з;и;;;;;PR;€‡;PR;
12300;11;положительно;ЏЋ‹Ћ†€’…‹њЌЋ;A - - sg brev - -;;;о;н;ь;л;е;т;ADV;ЏЋ‹Ћ†€’…‹њЌЋ;ADV -;
12301;12;зарЯженного;‡Ђђџ„€’њ;PARTCP pf praet gen sg plen m pass inan;;;о;г;о;н;н;е;PARTCP;‡Ђђџ„€’њ;PARTCP pf praet acc sg plen m pass anim;
12302;13;Ядра;џ„ђЋ;S n inan gen sg;;;а;р;д;Я;;;S;џ„ђЋ;S n inan nom pl;
12303;14;и;€;CONJ;;;и;;;;;;CONJ;€;CONJ;
12304;15;отрицательных;Ћ’ђ€–Ђ’…‹њЌ›‰;A - gen pl plen - -;;;х;ы;н;ь;л;е;A;Ћ’ђ€–Ђ’…‹њЌ›‰;A - gen pl plen - -;
12305;16;электрончиков;ќ‹…Љ’ђЋЌ—€Љ;S m inan gen pl;;;в;о;к;и;ч;н;S;ќ‹…Љ’ђЋЌ—€Љ;S f inan gen pl;
12306;17;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12307;18;что;—’Ћ;CONJ;;;о;т;ч;;;;CONJ;—’Ћ;CONJ;
12308;19;<;<;PUNC;;;;;;;;;PUNC;<;PUNC;
12309;20;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX;
12310;21;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX;
12311;22;=;=;PUNC;;;;;;;;;PUNC;=;PUNC;
12312;23;;;_;;;;;;;;;;;_;24
12313;24;эт;ќ’Ћ ;INTJ;distort;;т;э;;;;;S;ќ’Ђ;S f inan gen pl;
12314;25;;;_;;;;;;;;;;;_;24
12315;26;>;>;PUNC;;;;;;;;;PUNC;>;PUNC;
12316;27;это;ќ’Ћ;INTJ;;;о;т;э;;;;S;ќ’Ћ;S n - acc sg;
12317;28;<;<;PUNC;;;;;;;;;PUNC;<;PUNC;
12318;29;/;/;PUNC;;;;;;;;;PUNC;/;PUNC;
12319;30;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX;
12320;31;>;>;PUNC;;;;;;;;;PUNC;>;PUNC;
12321;32;.;.;SENT;;;;;;;;;SENT;.;SENT;
12322;;;;;;;;;;;;;;;;
12323;1;существуют;‘“™…‘’‚Ћ‚Ђ’њ;V ipf praes pl indic - 3p;;;т;ю;у;в;т;с;V;‘“™…‘’‚Ћ‚Ђ’њ;V ipf praes pl indic - 3p;
12324;2;такие;’ЂЉЋ‰;APRO - nom pl - -;;;е;и;к;а;т;;A;’ЂЉЋ‰;A - nom pl plen - -;
12325;3;частицы;—Ђ‘’€–Ђ;S f inan nom pl;;;ы;ц;и;т;с;а;S;—Ђ‘’€–Ђ;S f inan nom pl;
12326;4;.;.;SENT;;;;;;;;;SENT;.;SENT;
12327;;;;;;;;;;;;;;;;
12328;1;‘ергей;‘…ђѓ…‰;S m anim nom sg persn;;;й;е;г;р;е;с;S;‘…ђѓ…‰;S m anim nom sg;
12329;2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC;
12330;3;€;€;CONJ;;;и;;;;;;CONJ;€;CONJ;
12331;4;электроны;ќ‹…Љ’ђЋЌ;S m inan nom pl;;;ы;н;о;р;т;к;S;ќ‹…Љ’ђЋЌ;S m inan nom pl;
12332;5;в;‚;PR;;;в;;;;;;PR;‚;PR;
12333;6;атоме;Ђ’ЋЊ;S m inan loc sg;;;е;м;о;т;а;;S;Ђ’ЋЊ;S m inan loc sg;
12334;7;как-то;ЉЂЉ-’Ћ;ADV -;;;о;т;;к;а;к;ADV;ЉЂЉ-’Ћ;ADV -;
12335;8;движутсЯ;„‚€ѓЂ’њ‘џ;V ipf praes pl indic - 3p;;;Я;с;т;у;ж;и;V;„‚€ѓЂ’њ‘џ;V ipf praes pl indic - 3p;
12336;9;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12337;10;ну;Ќ“;PART;;;у;н;;;;;PART;Ќ“;PART;
12338;11;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12339;12;вращаютсЯ;‚ђЂ™Ђ’њ‘џ;V ipf praes pl indic - 3p;;;Я;с;т;ю;а;щ;V;‚ђЂ™Ђ’њ‘џ;V ipf praes pl indic - 3p;
12340;13;вокруг;‚ЋЉђ“ѓ;PR;;;г;у;р;к;о;в;PR;‚ЋЉђ“ѓ;PR;
12341;14;этих;ќ’Ћ’;APRO - gen pl  - -;;;х;и;т;э;;;A;ќ’Ћ’;A - gen pl plen - -;
12342;15;Ядер;џ„ђЋ;S n inan gen pl;;;р;е;д;Я;;;S;џ„ђЋ;S n inan gen pl;
12343;16;.;.;SENT;;;;;;;;;SENT;.;SENT;
12344;;;;;;;;;;;;;;;;
12345;1;€;€;CONJ;;;и;;;;;;CONJ;€;CONJ;
